pid,name,cpu_usage,memory_usage,read_bytes,write_bytes,status,create_time,nice,n_threads,cores
568,svchost.exe,0.0,0.00B,5.14MB,268.00KB,running,2021-03-16 22:18:54,0,11,0
1080,SecurityHealthService.exe,0.0,0.00B,10.30KB,4.00KB,running,2021-03-16 22:21:05,0,9,0
1064,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:55,0,5,0
940,lsass.exe,0.1,0.00B,724.11KB,1.06MB,running,2021-03-16 22:18:54,0,8,0
932,services.exe,0.1,0.00B,705.72KB,160.00B,running,2021-03-16 22:18:54,0,5,0
888,winlogon.exe,0.0,0.00B,219.86KB,0.00B,running,2021-03-16 22:18:54,0,6,0
604,WUDFHost.exe,0.0,0.00B,4.11KB,288.00KB,running,2021-03-16 22:18:55,0,14,0
612,csrss.exe,0.0,0.00B,359.48KB,0.00B,running,2021-03-16 22:18:52,0,14,0
808,wininit.exe,0.0,0.00B,18.50KB,0.00B,running,2021-03-16 22:18:54,0,1,0
788,csrss.exe,0.1,0.00B,6.77MB,0.00B,running,2021-03-16 22:18:54,0,14,0
656,fontdrvhost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:54,0,5,0
420,smss.exe,0.0,0.00B,16.41KB,148.00B,running,2021-03-16 22:18:34,0,2,0
1788,svchost.exe,0.0,0.00B,56.02KB,0.00B,running,2021-03-16 22:18:56,0,5,0
648,fontdrvhost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:54,0,5,0
2692,RtkAudioService64.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:58,0,5,0
2364,igfxCUIService.exe,0.0,0.00B,1.41KB,180.00B,running,2021-03-16 22:18:57,0,6,0
2320,MemCompression,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:57,0,46,0
2408,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:57,0,2,0
1856,ekrn.exe,0.0,0.00B,1.98GB,937.85MB,running,2021-03-16 22:18:56,0,68,0
